S.NO.,unique_products_2020,unique_products_2021,percentage_chg
109,A3718150102,A3718150102,1530.2
110,A3718150103,A3718150103,1545.4
111,A3718150105,A3718150105,1543.2
112,A3818150201,A3818150201,1554.3
113,A3818150202,A3818150202,1523.9
114,A3819150203,A3819150203,1592.4
115,A3819150204,A3819150204,1593.9
116,A3819150205,A3819150205,1542.9
117,A3920150301,A3920150301,1573.7
118,A3920150302,A3920150302,1607.9
119,A3920150303,A3920150303,1546.3
120,A3920150304,A3920150304,1570.3
121,A3920150305,A3920150305,1632.2
122,A4020150401,A4020150401,1538.6
123,A4020150402,A4020150402,1578.1
124,A4118110105,A4118110105,99.6
125,A4118110106,A4118110106,107.2
126,A4118110107,A4118110107,97.2
127,A4218110201,A4218110201,93.2
128,A4218110202,A4218110202,103.2
129,A4218110203,A4218110203,96.1
130,A4218110204,A4218110204,96
131,A4218110205,A4218110205,95.7
132,A4218110206,A4218110206,89.7
133,A4218110207,A4218110207,92.4
134,A4218110208,A4218110208,103.2
135,A4318110301,A4318110301,99
136,A4319110302,A4319110302,98.9
137,A4319110303,A4319110303,92.8
138,A4319110304,A4319110304,101.4
139,A4319110305,A4319110305,98.4
140,A4319110306,A4319110306,98.7
141,A4419110401,A4419110401,93.9
142,A4419110402,A4419110402,94.7
143,A4419110403,A4419110403,98.9
144,A4419110404,A4419110404,105.3
145,A4419110405,A4419110405,96.1
146,A4419110406,A4419110406,94.8
147,A4419110407,A4419110407,99.1
148,A4419110408,A4419110408,103.1
149,A4519110501,A4519110501,91.8
150,A4519110502,A4519110502,98.8
151,A4519110503,A4519110503,96.5
152,A4520110504,A4520110504,96.4
153,A4918110101,A4918110101,78.6
154,A4918110102,A4918110102,81.5
155,A4918110103,A4918110103,84.9
156,A4918110104,A4918110104,86.9
157,A5018110201,A5018110201,80.2
158,A5018110202,A5018110202,87.1
159,A5018110203,A5018110203,87.2
160,A5018110204,A5018110204,87.2
161,A5018110205,A5018110205,83.5
162,A5018110206,A5018110206,82.8
163,A5018110207,A5018110207,83.9
164,A5019110208,A5019110208,81.1
165,A5119110301,A5119110301,80.2
166,A5119110302,A5119110302,82.1
167,A5119110303,A5119110303,89.9
168,A5119110305,A5119110305,81.9
169,A5119110306,A5119110306,80.8
170,A5119110307,A5119110307,85
171,A5119110308,A5119110308,88.4
172,A5219110401,A5219110401,81.6
173,A5219110402,A5219110402,85.1
174,A5219110403,A5219110403,81.3
175,A5219110405,A5219110405,80.3
176,A5219110406,A5219110406,85.8
177,A5318110103,A5318110103,354.6
178,A5318110104,A5318110104,365.7
179,A5318110105,A5318110105,356.3
180,A5318110106,A5318110106,364.2
181,A5318110107,A5318110107,355.4
182,A5318110108,A5318110108,344.8
183,A5419110201,A5419110201,351.9
184,A5419110202,A5419110202,363.9
185,A5419110203,A5419110203,388.9
186,A5419110204,A5419110204,372.3
187,A5419110205,A5419110205,357.3
188,A5419110206,A5419110206,357
189,A5419110207,A5419110207,363
190,A5419110208,A5419110208,364.4
191,A5519110301,A5519110301,375.3
192,A5519110302,A5519110302,384.2
193,A5519110303,A5519110303,368.9
194,A5519110304,A5519110304,362.4
195,A5520110305,A5520110305,353.8
196,A5520110306,A5520110306,374.1
197,A5520110307,A5520110307,379.8
198,A5520110308,A5520110308,374.7
199,A5620110401,A5620110401,365.7
200,A5620110402,A5620110402,368.8
201,A5621110403,A5621110403,363.3
202,A5621110404,A5621110404,363.3
203,A5621110405,A5621110405,356.9
204,A5621110406,A5621110406,350.9
205,A5621110407,A5621110407,387.8
206,A5621110408,A5621110408,357.9
207,A5721110501,A5721110501,373.5
208,A6018110101,A6018110101,497.7
209,A6018110102,A6018110102,515
210,A6018110103,A6018110103,526
211,A6018110104,A6018110104,564.5
212,A6018110105,A6018110105,508.7
213,A6018110106,A6018110106,480.4
214,A6019110107,A6019110107,508
215,A6218160101,A6218160101,33.8
216,A6218160102,A6218160102,33.6
217,A6219160103,A6219160103,36.9
218,A6319160201,A6319160201,33.9
219,A6319160202,A6319160202,33.8
220,A6319160203,A6319160203,30.2
221,A6419160301,A6419160301,31.7
222,A6419160302,A6419160302,29.7
223,A6419160303,A6419160303,36.1
224,A6519160401,A6519160401,24.9
225,A6720160103,A6720160103,53.2
226,A6818160201,A6818160201,46.4
227,A7118160101,A7118160101,0.5
228,A7119160102,A7119160102,2.4
229,A7119160103,A7119160103,0.3
230,A7219160201,A7219160201,-2.7
231,A7220160202,A7220160202,2.4
232,A7220160203,A7220160203,-2
,,,239.6965517
